caption,annotated_caption
"Kodiak Bear (Ursus arctos middendorffi) in Kodiak National Wildlife Refuge, Alaska, United States.","[('Kodiak', 'PROPN'), ('Bear', 'PROPN'), ('(', 'PUNCT'), ('Ursus', 'PROPN'), ('arctos', 'NOUN'), ('middendorffi', 'ADV'), (')', 'PUNCT'), ('in', 'ADP'), ('Kodiak', 'PROPN'), ('National', 'PROPN'), ('Wildlife', 'PROPN'), ('Refuge', 'PROPN'), (',', 'PUNCT'), ('Alaska', 'PROPN'), (',', 'PUNCT'), ('United', 'PROPN'), ('States', 'PROPN'), ('.', 'PUNCT')]"
"Resting lamb, (Ovis aries); Animal Park Muggensturm, Germany.","[('Resting', 'VERB'), ('lamb', 'PROPN'), (',', 'PUNCT'), ('(', 'PUNCT'), ('Ovis', 'PROPN'), ('aries', 'NOUN'), (')', 'PUNCT'), (';', 'PUNCT'), ('Animal', 'PROPN'), ('Park', 'PROPN'), ('Muggensturm', 'PROPN'), (',', 'PUNCT'), ('Germany', 'PROPN'), ('.', 'PUNCT')]"
"A representation of the diversity of animals, seeking not to favour the large and familiar, so there is only one vertebrate here, for instance.","[('A', 'DET'), ('representation', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('diversity', 'NOUN'), ('of', 'ADP'), ('animals', 'NOUN'), (',', 'PUNCT'), ('seeking', 'VERB'), ('not', 'PART'), ('to', 'PART'), ('favour', 'VERB'), ('the', 'DET'), ('large', 'ADJ'), ('and', 'CCONJ'), ('familiar', 'ADJ'), (',', 'PUNCT'), ('so', 'CCONJ'), ('there', 'PRON'), ('is', 'VERB'), ('only', 'ADV'), ('one', 'NUM'), ('vertebrate', 'NOUN'), ('here', 'ADV'), (',', 'PUNCT'), ('for', 'ADP'), ('instance', 'NOUN'), ('.', 'PUNCT')]"
Animal Diversity,"[('Animal', 'NOUN'), ('Diversity', 'PROPN')]"
Composite of animal species from different phyla,"[('Composite', 'ADJ'), ('of', 'ADP'), ('animal', 'NOUN'), ('species', 'NOUN'), ('from', 'ADP'), ('different', 'ADJ'), ('phyla', 'NOUN')]"
"Composite image of various animals: Loligo vulgaris (Mollusca), Chrysaora quinquecirrha (Scyphozoa), Panthera tigris (Chordata), Aphthona flava (Arthropoda), Eunereis longissima (Annelida).","[('Composite', 'ADJ'), ('image', 'NOUN'), ('of', 'ADP'), ('various', 'ADJ'), ('animals', 'NOUN'), (':', 'PUNCT'), ('Loligo', 'PROPN'), ('vulgaris', 'PROPN'), ('(', 'PUNCT'), ('Mollusca', 'PROPN'), (')', 'PUNCT'), (',', 'PUNCT'), ('Chrysaora', 'PROPN'), ('quinquecirrha', 'NOUN'), ('(', 'PUNCT'), ('Scyphozoa', 'PROPN'), (')', 'PUNCT'), (',', 'PUNCT'), ('Panthera', 'PROPN'), ('tigris', 'NOUN'), ('(', 'PUNCT'), ('Chordata', 'PROPN'), (')', 'PUNCT'), (',', 'PUNCT'), ('Aphthona', 'PROPN'), ('flava', 'NOUN'), ('(', 'PUNCT'), ('Arthropoda', 'PROPN'), (')', 'PUNCT'), (',', 'PUNCT'), ('Eunereis', 'PROPN'), ('longissima', 'PROPN'), ('(', 'PUNCT'), ('Annelida', 'PROPN'), (')', 'PUNCT'), ('.', 'PUNCT')]"
"Three-toed-sloth (Bradypus variegatus), Lake Gatun, Republic of Panama.","[('Three', 'NUM'), ('-', 'PUNCT'), ('toed', 'NOUN'), ('-', 'PUNCT'), ('sloth', 'NOUN'), ('(', 'PUNCT'), ('Bradypus', 'PROPN'), ('variegatus', 'NOUN'), (')', 'PUNCT'), (',', 'PUNCT'), ('Lake', 'PROPN'), ('Gatun', 'PROPN'), (',', 'PUNCT'), ('Republic', 'PROPN'), ('of', 'ADP'), ('Panama', 'PROPN'), ('.', 'PUNCT')]"
"Head of a Tyrolese Mountain Sheep (Tiroler Bergschaf). Stubai Valley, Tyrol, Austria","[('Head', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('Tyrolese', 'PROPN'), ('Mountain', 'PROPN'), ('Sheep', 'PROPN'), ('(', 'PUNCT'), ('Tiroler', 'PROPN'), ('Bergschaf', 'PROPN'), (')', 'PUNCT'), ('.', 'PUNCT'), ('Stubai', 'PROPN'), ('Valley', 'PROPN'), (',', 'PUNCT'), ('Tyrol', 'PROPN'), (',', 'PUNCT'), ('Austria', 'PROPN')]"
Jelly Monterey,"[('Jelly', 'PROPN'), ('Monterey', 'PROPN')]"
"Exemplar of Common warthog (Phacochoerus africanus), Zambezi National Park, Zimbabwe.","[('Exemplar', 'ADJ'), ('of', 'ADP'), ('Common', 'PROPN'), ('warthog', 'PROPN'), ('(', 'PUNCT'), ('Phacochoerus', 'PROPN'), ('africanus', 'ADV'), (')', 'PUNCT'), (',', 'PUNCT'), ('Zambezi', 'PROPN'), ('National', 'PROPN'), ('Park', 'PROPN'), (',', 'PUNCT'), ('Zimbabwe', 'PROPN'), ('.', 'PUNCT')]"
