caption,augmented_caption
"Bonnet macaque (Macaca radiata). Pictured in the Lalbagh Botanical Gardens, Bangalore, India","cowling macaque (Macaca radiata). project inch the Lalbagh botanical Gardens, Bangalore, Bharat"
"Grey squirrel (Sciurus carolinensis), Oxfordshire.","gray squirrel (Sciurus carolinensis), Oxfordshire."
"Kodiak Bear (Ursus arctos middendorffi) in Kodiak National Wildlife Refuge, Alaska, United States.","Alaskan_brown_bear digest (Ursus arctos middendorffi) indium Ursus_arctos_middendorffi subject wildlife Refuge, Alaska, unify States."
"Composite image of various animals: Loligo vulgaris (Mollusca), Chrysaora quinquecirrha (Scyphozoa), Panthera tigris (Chordata), Aphthona flava (Arthropoda), Eunereis longissima (Annelida).","complex picture of respective animals: loligo vulgaris (Mollusca), genus_Chrysaora quinquecirrha (Scyphozoa), genus_Panthera Tigris_River (Chordata), Aphthona flava (Arthropoda), Eunereis longissima (Annelida)."
"Eastern Grey Kangaroo mother and joey, Brunkerville, New South Wales, Australia","eastern grizzly kangaroo female_parent and joey, Brunkerville, new south Wales, Commonwealth_of_Australia"
"Three-toed-sloth (Bradypus variegatus), Lake Gatun, Republic of Panama.","Three-toed-sloth (Bradypus variegatus), lake Gatun, commonwealth of Panama."
"Hemidactylus platyurus (flat-tailed house gecko) on white background, in Laos. Focus stacking from 20 pictures shot in studio.","Hemidactylus platyurus (flat-tailed sign_of_the_zodiac gecko) along Andrew_Dickson_White background, indium Laos. centering heap from twenty flick shoot Indiana studio."
"Blowfly, (Calliphoridae) female, Austin's Ferry, Tasmania, Australia","Blowfly, (Calliphoridae) female, Austin's Ferry, Tasmania, Commonwealth_of_Australia"
"Nyala female (Tragelaphus angasii), Disney's Animal Kingdom Lodge","Tragelaphus_angasi female_person (Tragelaphus angasii), Disney's animal land lodge"
"Resting lamb, (Ovis aries); Animal Park Muggensturm, Germany.","stay lamb, (Ovis aries); sensual park Muggensturm, Germany."
Animal Diversity,sensual diversity
"African elephant (Loxodonta africana), Queen Elizabeth Park, Uganda","African elephant (Loxodonta africana), queen Elizabeth_II Park, Republic_of_Uganda"
Composite of animal species from different phyla,composite of creature specie from unlike phylum
"Nyala female (Tragelaphus angasii), Disney's Animal Kingdom Lodge","nyala distaff (Tragelaphus angasii), Disney's creature kingdom lodge"
This   file was uploaded  with Commonist.,This register be upload with Commonist.
An ant in a small piece (1.5cm × 2cm) of Colombian Amber,AN emmet Indiana A pocket-sized assemble (1.5cm × 2cm) of Colombian yellow-brown
Film poster for the 1932 film The Animal Kingdom,picture_show notice for the 1932 pic The animal kingdom
"Bighorn Sheep in autumn Kananaskis country, Alberta, Canada","Rocky_Mountain_sheep sheep inward fall Kananaskis country, Alberta, Canada"
Jelly Monterey,jelly Monterey
"Hopi Chipmunk (Tamias rufus) – Dead Horse State Park, Utah","Hopi chipmunk (Tamias rufus) – dead gymnastic_horse put_forward Park, Beehive_State"
Common Frogs (Rana temporaria) also known as European Common Frogs.,common frog (Rana temporaria) likewise know angstrom European common Frogs.
"Mountain gorilla (Gorilla beringei beringei) female, Volcanoes National Park, Rwanda","wad Gorilla_gorilla (Gorilla beringei beringei) female, vent national Park, Ruanda"
Wanyama Safari - Marabou Stork,Wanyama hunting_expedition - Leptoptilus_crumeniferus stork
"Head of a Tyrolese Mountain Sheep (Tiroler Bergschaf). Stubai Valley, Tyrol, Austria","head of antiophthalmic_factor Tyrolean sight sheep (Tiroler Bergschaf). Stubai Valley, Tyrol, Oesterreich"
