id,visual,caption
23241619,https://upload.wikimedia.org/wikipedia/commons/7/71/2010-kodiak-bear-1.jpg,"<a href=""https://en.wikipedia.org/wiki/Kodiak_Bear"" class=""extiw"" title=""en:Kodiak Bear"">Kodiak Bear</a> (<i>Ursus arctos middendorffi</i>) in <a href=""https://en.wikipedia.org/wiki/Kodiak_National_Wildlife_Refuge"" class=""extiw"" title=""en:Kodiak National Wildlife Refuge"">Kodiak National Wildlife Refuge</a>, <a href=""//commons.wikimedia.org/wiki/Alaska"" title=""Alaska"">Alaska</a>, <a href=""//commons.wikimedia.org/wiki/United_States"" title=""United States"">United States</a>."
76924741,https://upload.wikimedia.org/wikipedia/commons/a/a9/Lamb_-_Animal_Park_Muggensturm_01.jpg,"Resting lamb, (<i><a href=""https://en.wikipedia.org/wiki/Sheep"" class=""extiw"" title=""en:Sheep"">Ovis aries</a></i>); Animal Park <a href=""https://en.wikipedia.org/wiki/Muggensturm"" class=""extiw"" title=""en:Muggensturm"">Muggensturm</a>, <a href=""https://en.wikipedia.org/wiki/Germany"" class=""extiw"" title=""en:Germany"">Germany</a>."
131294949,https://upload.wikimedia.org/wikipedia/commons/6/6f/Animal_diversity_b.png,"A representation of the diversity of animals, seeking not to favour the large and familiar, so there is only one vertebrate here, for instance."
81271279,https://upload.wikimedia.org/wikipedia/commons/e/ea/Animal_diversity.jpg,Animal Diversity
121427479,https://upload.wikimedia.org/wikipedia/commons/e/ee/Animal_diversity_composite.png,Composite of animal species from different phyla
1530310,https://upload.wikimedia.org/wikipedia/commons/d/d5/Animalia_diversity.jpg,"Composite image of various animals: <i>Loligo vulgaris</i> (Mollusca), <i>Chrysaora quinquecirrha</i> (Scyphozoa), <i>Panthera tigris</i> (Chordata), <i>Aphthona flava</i> (Arthropoda), <i>Eunereis longissima</i> (Annelida)."
61433,https://upload.wikimedia.org/wikipedia/commons/1/18/Bradypus.jpg,"<a href=""https://en.wikipedia.org/wiki/Three-toed_sloth"" class=""extiw"" title=""en:Three-toed sloth"">Three-toed-sloth</a> (<i>Bradypus variegatus</i>), Lake Gatun, Republic of <a href=""https://en.wikipedia.org/wiki/Panama"" class=""extiw"" title=""en:Panama"">Panama</a>."
71204710,https://upload.wikimedia.org/wikipedia/commons/c/c4/Stubai_-_Tiroler_Bergschaf_-BT-_01.jpg,"Head of a Tyrolese Mountain Sheep (Tiroler Bergschaf). Stubai Valley, Tyrol, Austria"
335679,https://upload.wikimedia.org/wikipedia/commons/2/22/Jelly_Monterey.jpg,No description
74484686,https://upload.wikimedia.org/wikipedia/commons/b/be/Facocero_com%C3%BAn_%28Phacochoerus_africanus%29%2C_parque_nacional_de_Zambeze%2C_Zimbabue%2C_2018-07-28%2C_DD_01.jpg,"Exemplar of <a href=""https://en.wikipedia.org/wiki/Common_warthog"" class=""extiw"" title=""en:Common warthog"">Common warthog</a> (<i>Phacochoerus africanus</i>), <a href=""https://en.wikipedia.org/wiki/Zambezi_National_Park"" class=""extiw"" title=""en:Zambezi National Park"">Zambezi National Park</a>, <a href=""https://en.wikipedia.org/wiki/Zimbabwe"" class=""extiw"" title=""en:Zimbabwe"">Zimbabwe</a>."
7761816,https://upload.wikimedia.org/wikipedia/commons/d/d8/Lynx_lynx-4.JPG,"An eurasian lynx at Skåne Zoo (Swedish: Skånes djurpark), near Höör, Scania, southern Sweden."
1241123,https://upload.wikimedia.org/wikipedia/commons/b/be/Tamias-rufus-001.jpg,"Hopi Chipmunk (<i><a href=""//commons.wikimedia.org/wiki/Tamias_rufus"" title=""Tamias rufus"">Tamias rufus</a></i>) – Dead Horse State Park, Utah"
7648981,https://upload.wikimedia.org/wikipedia/commons/a/a2/Sarcophagid_fly_Portrait.jpg,"<a href=""https://en.wikipedia.org/wiki/Blowfly"" class=""extiw"" title=""en:Blowfly"">Blowfly</a>, (Calliphoridae) female, Austin's Ferry, Tasmania, Australia"
24276013,https://upload.wikimedia.org/wikipedia/commons/3/36/Axis_axis_%28Nagarhole%2C_2010%29.jpg,"<a href=""https://en.wikipedia.org/wiki/Chital"" class=""extiw"" title=""en:Chital"">Chital</a> (<i>Axis axis</i>) stag attempting to browse on a misty morning in <a href=""https://en.wikipedia.org/wiki/Nagarhole_National_Park"" class=""extiw"" title=""en:Nagarhole National Park"">Nagarhole National Park</a>. The stag is on its hind legs, balancing carefully to reach a high leaf."
20186648,https://upload.wikimedia.org/wikipedia/commons/9/95/Axis_axis_crossing_the_road.JPG,"The <b>chital</b> or <b>cheetal</b> (<i><a href=""https://en.wikipedia.org/wiki/Axis_axis"" class=""extiw"" title=""w:Axis axis"">Axis axis</a></i>), also known as <b>chital deer</b>, <b>spotted deer</b> or <b>axis deer</b> is a <a href=""https://en.wikipedia.org/wiki/Deer"" class=""extiw"" title=""w:Deer"">deer</a> which commonly inhabits wooded regions of <a href=""https://en.wikipedia.org/wiki/Sri_Lanka"" class=""extiw"" title=""w:Sri Lanka"">Sri Lanka</a>, <a href=""https://en.wikipedia.org/wiki/Nepal"" class=""extiw"" title=""w:Nepal"">Nepal</a>,  <a href=""https://en.wikipedia.org/wiki/Bangladesh"" class=""extiw"" title=""w:Bangladesh"">Bangladesh</a>, <a href=""https://en.wikipedia.org/wiki/Bhutan"" class=""extiw"" title=""w:Bhutan"">Bhutan</a>, <a href=""https://en.wikipedia.org/wiki/India"" class=""extiw"" title=""w:India"">India</a>, and in small numbers in <a href=""https://en.wikipedia.org/wiki/Pakistan"" class=""extiw"" title=""w:Pakistan"">Pakistan</a>. It is the most common deer species in Indian forests. The name Chital comes from the Bengali word Chitral (<div lang=""bn"" dir=""ltr"" class=""description bn"" style=""display:inline;"">চিত্রল</div>)/Chitra (<div lang=""bn"" dir=""ltr"" class=""description bn"" style=""display:inline;"">চিত্রা</div>), which means ""spotted"". The chital is <a href=""https://en.wikipedia.org/wiki/monotypic"" class=""extiw"" title=""w:monotypic"">monotypic</a> within the genus <i>Axis</i>, but this genus has also included three species that now are moved to <i><a href=""https://en.wikipedia.org/wiki/Hyelaphus"" class=""extiw"" title=""w:Hyelaphus"">Hyelaphus</a></i> based on genetic evidence.
<p><br>
</p>
The Picture was taken in Nagarhole NP of India where they thrive in huge numbers. The picture shows <i>Axis axis</i> crossing a road which pass through the national park right in front of a wildlife crossing board. Through this picture I wanted to showcase that wildlife crossing and vehicle drivers should be more careful on the road to prevent road kills."
47900137,https://upload.wikimedia.org/wikipedia/commons/0/07/Grey_squirrel_%28Sciurus_carolinensis%29_02.jpg,"Grey squirrel (<i>Sciurus carolinensis</i>), Oxfordshire."
